distance,dq
2.87049,0.03336
2.88590,0.03542
7.40622,-0.00340
-1.00000,0.09332
10.79760,0.00030
10.18812,-0.00153
8.92627,0.00221
8.21218,0.00349
8.96565,0.00221
10.22482,-0.00153
6.91150,-0.00998
5.96861,0.01524
4.57539,-0.00132
4.02948,0.00027
2.73775,-0.12224
1.76222,0.26899
2.73705,-0.12224
4.03784,0.00027
0.00000,-0.21200
7.37209,-0.02194
6.64947,0.00367
8.17809,0.00598
6.64956,0.00598
7.89257,0.00598
8.65043,-0.00130
10.85178,0.00016
10.91159,0.00016
8.71680,-0.00130
6.41214,-0.00541
4.87297,0.00735
2.87560,0.03879
2.87743,0.03879
4.88113,0.00735
-1.00000,0.09358
4.27388,-0.01659
2.88362,0.08619
2.69420,-0.21673
1.73350,0.32005
2.73321,-0.14424
2.94227,0.04894
4.10831,0.01166
5.22773,0.04314
6.49054,-0.02361
6.82380,0.00778
6.01566,0.00636
4.61605,-0.03045
4.09619,0.06496
5.06751,-0.00660
0.00000,-0.23020
4.74818,0.00122
4.94406,0.00122
4.48251,0.00122
5.27593,-0.01726
7.37878,0.00471
7.89411,-0.00123
6.60014,-0.00383
-1.00000,0.09328
4.00990,-0.02344
4.54114,0.01872
4.01130,-0.00878
2.74154,-0.09506
1.75919,0.21520
2.70736,-0.07738
0.00000,-0.18971
3.12430,0.04043
3.46729,0.00611
4.40114,-0.01757
5.10114,0.00692
4.85701,0.00970
5.62579,-0.00305
2.82179,0.03037
4.16117,-0.00120
2.77077,-0.00120
4.29271,0.00428
5.24699,0.00428
-1.00000,0.08140
6.76978,-0.00099
6.04121,0.01476
6.96911,-0.00641
8.56793,0.00209
8.02769,-0.00365
7.08271,0.00919
4.56438,-0.01274
4.02514,0.01153
2.73266,-0.13670
1.76002,0.28343
2.73062,-0.13670
4.02557,0.01153
9.08347,-0.00059
0.00000,-0.21608
7.36444,-0.00176
7.97974,-0.00176
6.26061,-0.00176
8.90991,0.00043
9.94037,0.00043
4.86895,0.00534
2.86811,0.04266
2.86933,0.04266
4.88198,0.00534
-1.00000,0.08974
6.78080,0.00486
8.27788,-0.00088
8.90530,-0.00185
9.24305,0.00305
8.33665,-0.00018
8.89371,-0.00031
6.07087,0.05511
4.55614,-0.02380
4.02172,0.01573
2.72783,-0.14912
1.75912,0.30170
2.73105,-0.14912
4.02633,0.01573
0.00000,-0.22664
5.82598,-0.00121
7.54144,-0.00121
7.18682,-0.00121
8.56502,0.00008
8.89231,0.00008
8.48280,0.00031
9.90764,0.00031
10.15442,-0.00066
9.59041,-0.00066
6.50716,-0.01432
6.50542,-0.01432
4.87250,0.00591
2.86728,0.04628
2.86839,0.04628
4.87347,0.00591
6.85024,-0.01410
6.87835,0.00538
7.07013,-0.00385
-1.00000,0.09675
9.89415,0.00826
8.46608,-0.00119
8.10801,-0.00278
6.81584,-0.00636
6.01907,0.02155
7.15748,-0.00577
4.55401,-0.01552
4.02212,0.00725
2.73116,-0.13524
1.75700,0.29126
2.72845,-0.13524
4.02131,0.00725
0.00000,-0.22232
9.13819,0.00176
10.21053,-0.00213
10.21021,-0.00213
10.55915,-0.00213
4.88251,0.00777
2.86840,0.04162
2.86610,0.04162
4.86615,0.00777
8.82995,-0.00048
-1.00000,0.09519
8.46174,-0.00434
7.35648,0.00247
6.77652,-0.00085
7.43407,0.00247
8.53037,-0.00434
9.01541,0.00387
10.26266,0.00005
5.91607,-0.00323
4.54460,0.01262
4.02993,-0.00511
2.73658,-0.11178
1.76277,0.24897
2.73445,-0.11178
4.03530,-0.00511
0.00000,-0.20195
9.06794,0.00081
7.14237,0.00005
7.28281,0.00005
9.18171,0.00081
10.51544,-0.00040
10.55323,-0.00040
4.89602,0.00723
2.87356,0.03707
2.87052,0.03707
4.88737,0.00723
-1.00000,0.08850
4.02073,0.00174
4.53219,0.00478
4.03188,-0.02144
2.72161,-0.11893
1.76081,0.26464
2.72886,-0.11559
0.00000,-0.20955
5.22575,0.04571
5.42468,-0.01702
6.74470,-0.00415
7.39448,0.00181
8.61560,-0.00093
6.75240,0.01221
4.87738,0.00537
5.61908,0.00091
2.86207,0.04419
2.86261,0.03707
6.17659,-0.01155
7.46676,0.00133
5.75583,-0.00529
7.42742,-0.00529
-1.00000,0.08996
4.02089,0.00304
2.72829,-0.12608
1.75677,0.27025
2.73026,-0.12608
4.02143,0.00304
4.55425,-0.00198
6.01584,0.01244
6.81494,-0.00237
8.12906,-0.00549
9.17083,0.00411
10.31976,-0.00146
8.93039,0.00119
0.00000,-0.21466
4.87292,0.00699
2.86756,0.04097
2.86425,0.04097
4.87689,0.00699
6.56312,-0.00529
8.52812,0.00187
8.02925,-0.00109
9.78413,-0.00109
-1.00000,0.09370
2.73376,-0.12595
4.02103,0.00100
4.57068,0.02614
4.01027,-0.04915
2.71684,-0.10595
1.75360,0.27039
0.00000,-0.22039
5.15479,0.05639
6.34860,-0.01623
6.59690,0.00534
5.92645,-0.00826
7.94306,-0.00187
5.27666,-0.01647
2.85134,0.04258
4.88545,0.00519
2.90081,0.03983
8.39448,0.00080
8.57033,0.00080
-1.00000,0.09583
4.01614,0.00920
2.72301,-0.14548
1.75156,0.30479
2.72535,-0.14548
4.01240,0.00920
4.54242,-0.01085
6.03356,0.01339
6.70287,-0.00575
6.98471,0.01296
7.79161,-0.00457
7.22844,0.00062
8.79978,0.00406
10.04466,-0.00086
0.00000,-0.23158
4.85633,0.00770
2.86023,0.04519
2.86043,0.04519
4.87818,0.00770
7.78611,-0.00515
6.67360,-0.00515
10.01692,-0.00023
8.40676,-0.00034
8.61592,-0.00224
8.69587,0.00118
8.91092,-0.00034
-1.00000,0.09684
7.11652,0.01276
6.62208,-0.00961
6.78987,-0.00099
5.19931,0.08951
5.26766,-0.02953
4.03275,-0.07379
4.53794,0.03232
4.02192,-0.00994
2.72773,-0.10803
1.75887,0.27037
2.72461,-0.10821
0.00000,-0.22090
7.66322,-0.00342
8.21514,0.00644
7.35613,-0.01438
9.31702,-0.01438
9.05821,-0.01438
6.62433,-0.00431
8.14865,-0.00431
7.24338,-0.00431
5.62209,-0.00628
4.87619,0.00693
2.86136,0.03579
